"pr","title","additions","deletions","created_at","merged_at"
2,"docs: clarify absolute path requirements for CLAUDE_DIR in README",3,0,"2026-05-05T06:31:17Z","2026-07-05T05:18:30Z"
5,"docs: V2 specs, gates, and phased build plan",2400,0,"2026-07-05T22:58:52Z","2026-07-06T01:56:01Z"
55,"File all Phase 0–5 plan tasks as GitHub issues",1580,37,"2026-07-06T12:48:51Z","2026-07-06T12:49:24Z"
56,"#P0-2 — Move V1 app into legacy/",63,62,"2026-07-07T07:50:38Z","2026-07-07T12:30:51Z"
57,"#P0-7 — Data inventory (observed-field evidence)",1952,52,"2026-07-10T00:35:43Z","2026-07-10T03:12:02Z"
58,"docs(plan): rescope #P0-3 to synthetic fixtures, unblock Phase 1",53,49,"2026-07-10T05:31:33Z","2026-07-10T06:03:15Z"
59,"feat: scaffold three-root TS package (#P1-1)",4834,2,"2026-07-10T13:12:46Z","2026-07-10T13:18:49Z"
60,"#P1-2 — Dev & build toolchain",515,7,"2026-07-10T20:52:02Z","2026-07-10T21:18:19Z"
61,"#P1-3 — CI",77,1,"2026-07-10T21:24:30Z","2026-07-10T21:42:02Z"
62,"#P1-4 — Storybook setup",3189,118,"2026-07-11T03:48:38Z","2026-07-11T06:26:22Z"
63,"#P1-5 — Add Biome linter/formatter",258,1,"2026-07-11T06:37:56Z","2026-07-11T07:05:30Z"
64,"#P0-8 — Harden closed-issue wiki archive convention",1226,65,"2026-07-11T07:26:57Z","2026-07-11T11:03:11Z"
67,"#P2-1 — Shared contracts",846,25,"2026-07-11T11:54:43Z","2026-07-12T22:12:40Z"
68,"Revert sub-page renaming: keep original specs/ filenames on archive",61,38,"2026-07-11T12:10:46Z","2026-07-12T22:15:16Z"
69,"chore: archive #8/#18 wiki artifacts, retire from specs/",142,738,"2026-07-12T22:26:15Z","2026-07-13T02:03:34Z"
70,"#P2-2 — Transcript parser + dedupe",1074,0,"2026-07-13T10:07:34Z","2026-07-13T10:25:35Z"
71,"#P2-3 — Discovery + polling",1306,11,"2026-07-13T10:59:50Z","2026-07-13T11:26:15Z"
72,"#P2-4 — Tailer: byte-offset incremental transcript reader",958,0,"2026-07-13T12:09:43Z","2026-07-13T12:19:35Z"
73,"#P2-5 — Warm-start cache: byte-offset-keyed NDJSON parse cache",1219,2,"2026-07-13T20:52:24Z","2026-07-13T21:11:59Z"
74,"#P2-6 / #P2-7 — Store + derivations, ingest pipeline, boot checkpoint",1970,8,"2026-07-13T22:00:38Z","2026-07-13T22:53:34Z"
75,"feat(25): implement metrics engine — measures, dimensions, grain",2258,0,"2026-07-14T03:24:59Z","2026-07-14T05:49:10Z"
76,"#P2-9 — Distributions + smoothing + compare",1549,39,"2026-07-14T06:50:37Z","2026-07-14T07:45:42Z"
77,"feat(27): add POST /api/metrics route",651,6,"2026-07-14T11:23:28Z","2026-07-14T11:37:11Z"
78,"feat(28): wire ingest to WS invalidation bus",827,31,"2026-07-14T12:08:31Z","2026-07-14T12:52:16Z"
79,"feat(29): add React shell — routing, query layer, WS invalidation client",1134,15,"2026-07-14T21:08:14Z","2026-07-15T07:42:09Z"
80,"feat(30): global filter bar + URL sync (#P3-3)",1280,23,"2026-07-15T10:49:10Z","2026-07-15T11:24:26Z"
81,"feat(31): chart layer + one live chart (#P3-4)",2394,43,"2026-07-15T12:42:15Z","2026-07-15T23:12:57Z"
82,"docs(plan): Phase 4/5 parallelization plan",289,2,"2026-07-16T05:44:22Z","2026-07-16T09:04:35Z"
83,"feat(32): add Cypress end-to-end smoke test",4471,128,"2026-07-16T09:36:46Z","2026-07-16T13:18:33Z"
86,"chore: make Phase 4 lanes parallel-ready",1045,194,"2026-07-17T00:03:33Z","2026-07-17T01:12:25Z"
87,"feat(33): add shared dashboard primitives",2065,52,"2026-07-17T08:31:04Z","2026-07-17T22:50:14Z"
88,"feat(84): make time-series charts accessible without the canvas",749,15,"2026-07-17T23:20:27Z","2026-07-17T23:53:42Z"
89,"feat(34): Dashboard page",13291,97,"2026-07-18T06:48:11Z","2026-07-18T12:11:23Z"
91,"feat(41): Cache Lab page",7776,57,"2026-07-18T21:09:04Z","2026-07-18T23:25:16Z"
92,"feat(37): Session Detail page",8201,50,"2026-07-18T21:09:19Z","2026-07-18T23:05:16Z"
93,"feat(36): build the Sessions page",8906,137,"2026-07-18T21:14:39Z","2026-07-18T21:59:41Z"
95,"fix(#P4-20): dashboard flicker under concurrent multi-session load",519,19,"2026-07-19T03:21:41Z","2026-07-19T06:36:02Z"
96,"feat(40): build Models page",3202,11,"2026-07-19T03:26:37Z","2026-07-19T05:52:17Z"
97,"feat(42): build the Trends, Calendar & Budget page",4229,11,"2026-07-19T03:41:29Z","2026-07-19T06:32:14Z"
99,"#P4-7 — Projects page (#39)",2902,5,"2026-07-19T08:11:54Z","2026-07-19T08:43:14Z"
100,"feat(43): gates engine",3629,15,"2026-07-19T08:22:03Z","2026-07-19T09:27:08Z"
101,"feat(49): CSV/JSON export of the filtered Sessions view",1553,4,"2026-07-19T10:39:05Z","2026-07-19T11:19:13Z"
102,"feat(47): Settings page + config/local-store",4515,173,"2026-07-19T11:06:57Z","2026-07-19T21:20:06Z"
103,"feat(38): build the Turn Inspector page (#P4-6)",4142,48,"2026-07-19T11:40:26Z","2026-07-19T20:59:06Z"
104,"fix: disambiguate chart series names across multiple measures",83,5,"2026-07-20T00:21:47Z","2026-07-20T22:07:30Z"
105,"feat(35): full-text prompt search (#P4-3)",2893,36,"2026-07-20T03:11:01Z","2026-07-20T20:19:43Z"
106,"feat(44): Report Card UI and live gate feeds",3579,153,"2026-07-20T03:11:21Z","2026-07-20T20:33:53Z"
107,"feat(48): build the Explore page pivot builder (#P4-16)",3150,37,"2026-07-20T03:11:40Z","2026-07-20T20:22:28Z"
109,"feat(45): Premium tier C/B/L parsers + observed-value upgrades (#P4-13)",4546,139,"2026-07-21T09:43:21Z","2026-07-21T10:50:23Z"
110,"docs(plan): add Phase 6/7 for the post-v1 product roadmap",81,3,"2026-07-22T22:49:33Z","2026-07-23T09:31:30Z"
111,"feat(46): Data Health page + /api/health extension (#P4-14)",3594,309,"2026-07-23T02:35:55Z","2026-07-23T08:39:33Z"
114,"fix(113): route sub-agent transcripts to parent sessions",907,19,"2026-07-23T11:15:07Z","2026-07-23T21:09:34Z"
115,"feat(112): add producer-side cost-capture tier",2619,31,"2026-07-23T11:17:18Z","2026-07-23T21:09:59Z"
116,"docs(53): add cost-capture setup guide, tier walkthrough, and CHANGELOG",66,1,"2026-07-23T22:03:25Z","2026-07-23T22:07:03Z"
117,"perf(51): record #P5-1 benchmark numbers; extend benchmark tool with data-size + --roots",299,17,"2026-07-23T22:21:50Z","2026-07-23T22:44:15Z"
